topology,tm_index,action,selected_K,PR,PR_reference_type,DB,MLU,decision_ms
vtlwavenet2011,0,K50,50,0.9310423567151882,path_LP,0.001590279322617349,0.8920952681346008,305.6
vtlwavenet2011,1,K50,50,0.9311778193268667,path_LP,0.0007793475810414108,0.9120458554951875,311.8
vtlwavenet2011,2,K50,50,0.9317639193046247,path_LP,0.0009342656309040577,0.9338681507916375,303.6
vtlwavenet2011,3,K50,50,0.9339846298850962,path_LP,0.0008804550225007967,0.9485908380562401,304.5
vtlwavenet2011,4,K50,50,0.9329082129052372,path_LP,0.0010002534029524403,0.9605859997519787,324.7
vtlwavenet2011,5,K50,50,0.9335129314994438,path_LP,0.0007938462019683405,0.9755322626589161,302.8
vtlwavenet2011,6,K50,50,0.9334742499432507,path_LP,0.0006032839810155693,0.9849619188544875,301.4
vtlwavenet2011,7,K50,50,0.9320604403720912,path_LP,0.0008396657086418164,1.0002048824649368,304.0
vtlwavenet2011,8,K50,50,0.934445093528432,path_LP,0.0016656598573993422,1.0102233774953677,310.5
vtlwavenet2011,9,K50,50,0.9351559236997172,path_LP,0.0006918239614873694,1.0154678339829055,302.6
vtlwavenet2011,10,K50,50,0.9361420575673927,path_LP,0.00016003378852341314,1.0215545483461175,300.9
vtlwavenet2011,11,K50,50,0.9361556858561308,path_LP,0.0003324024652115932,1.0236794741393138,302.6
vtlwavenet2011,12,K50,50,0.9358431863596016,path_LP,0.0008366346435281932,1.032563203187468,357.2
vtlwavenet2011,13,K50,50,0.9370312865284108,path_LP,0.0002813628756632512,1.0347008380015892,301.1
vtlwavenet2011,14,K50,50,0.9374684366912913,path_LP,0.00030453284266367467,1.0341486227342342,297.5
vtlwavenet2011,15,K50,50,0.9386273345727983,path_LP,5.2073112871762766e-05,1.034234559496175,299.5
vtlwavenet2011,16,K50,50,0.9388023804236261,path_LP,0.0005957877624017544,1.047303923454534,480.8
vtlwavenet2011,17,K50,50,0.9390764085513139,path_LP,0.0007400674918219334,1.0586346348324909,415.6
vtlwavenet2011,18,K50,50,0.9377379554558474,path_LP,0.0008143708265719638,1.063720637002673,411.9
vtlwavenet2011,19,K50,50,0.9393297067515352,path_LP,0.0009583927927299871,1.0710275406408674,419.0
vtlwavenet2011,20,K50,50,0.938177909337057,path_LP,0.0012011663015249888,1.082696861819573,415.6
vtlwavenet2011,21,K50,50,0.9383254939925413,path_LP,0.00044290397905505374,1.0814430125952954,417.2
vtlwavenet2011,22,K50,50,0.9376765814192025,path_LP,0.0010374196255702073,1.088590237492254,417.5
vtlwavenet2011,23,K50,50,0.940712809930039,path_LP,0.0013894293594608836,1.08977316455026,414.0
vtlwavenet2011,24,K50,50,0.937513375765452,path_LP,0.0009060252735819291,1.098704400743773,484.3
vtlwavenet2011,25,K50,50,0.939587238032507,path_LP,0.000922311664191256,1.0960962311860079,410.7
vtlwavenet2011,26,K50,50,0.9398369962774079,path_LP,0.00035878448025467117,1.09695734786383,408.2
vtlwavenet2011,27,K50,50,0.9398963418536882,path_LP,0.0004006457188189299,1.097487031184946,415.6
vtlwavenet2011,28,K50,50,0.9407747067769233,path_LP,0.0007244805256780587,1.0928822673215837,412.7
vtlwavenet2011,29,K50,50,0.9408119520945709,path_LP,0.000533308441254242,1.0931737905890122,413.7
vtlwavenet2011,30,K50,50,0.9400788275938764,path_LP,0.0009407390089286073,1.0848539167914346,411.0
vtlwavenet2011,31,K50,50,0.9390926027165116,path_LP,0.000932992313111915,1.0880978347814605,1136.3
vtlwavenet2011,32,K50,50,0.9401058883702578,path_LP,0.0008445364762876057,1.0787970091266739,297.3
vtlwavenet2011,33,K50,50,0.9394292706323397,path_LP,0.000894231540923204,1.0736810274628783,313.7
vtlwavenet2011,34,K50,50,0.9364986855817268,path_LP,0.0007109898952705458,1.0690915309323168,301.0
vtlwavenet2011,35,K50,50,0.9404736980759354,path_LP,0.0009434258168495841,1.0565098567715165,297.6
vtlwavenet2011,36,K50,50,0.9391902928791388,path_LP,0.0008471364967627723,1.0454015420394374,328.2
vtlwavenet2011,37,K50,50,0.940728604875304,path_LP,4.162059047227478e-05,1.041935015999822,296.0
vtlwavenet2011,38,K50,50,0.9404161369799615,path_LP,0.0009351971846459341,1.0272211907415985,297.9
vtlwavenet2011,39,K50,50,0.9389238349030825,path_LP,8.932937503364137e-05,1.0239528729224743,297.1
vtlwavenet2011,40,K50,50,0.9388948277316453,path_LP,0.0009800599259914193,1.018602022832372,300.4
vtlwavenet2011,41,K50,50,0.9376125637685968,path_LP,0.0002608123687541379,1.0156059857148678,299.0
vtlwavenet2011,42,K50,50,0.9385639229749734,path_LP,0.0006234041339386424,1.0127938460335064,300.4
vtlwavenet2011,43,K50,50,0.9365296662248992,path_LP,0.0006180994918722921,1.0093665225149002,383.6
vtlwavenet2011,44,K50,50,0.9368019914296679,path_LP,0.0006855870424982819,1.003356406243683,300.8
vtlwavenet2011,45,K50,50,0.9367445225691123,path_LP,0.0010320761730217088,0.996912069698891,300.5
vtlwavenet2011,46,K50,50,0.9358919280430292,path_LP,0.0009927494099390968,0.9867809048233014,302.7
vtlwavenet2011,47,K50,50,0.9352909203901952,path_LP,0.0012488263340473449,0.9766311772440694,298.9
vtlwavenet2011,48,K50,50,0.9354438501516568,path_LP,0.0005724739395555375,0.9639362742651473,301.6
vtlwavenet2011,49,K50,50,0.9339998797033138,path_LP,0.0007054327491911779,0.9516648029720539,300.5
vtlwavenet2011,50,K50,50,0.936252768943949,path_LP,0.0010393771176725774,0.9321493238446293,301.0
vtlwavenet2011,51,K50,50,0.932689758277568,path_LP,0.0009644918363994194,0.9259106264997576,320.7
vtlwavenet2011,52,K50,50,0.9326693248892339,path_LP,7.984730972021155e-05,0.9087366492789766,315.7
vtlwavenet2011,53,K50,50,0.9341670251358772,path_LP,0.0006865584576842579,0.8908854953182428,314.3
vtlwavenet2011,54,K50,50,0.9342626141925041,path_LP,0.00046925774684626105,0.870235510159978,309.3
vtlwavenet2011,55,K50,50,0.933753002508607,path_LP,0.0007615251273570873,0.8526908341255608,300.5
vtlwavenet2011,56,K50,50,0.9335791774496786,path_LP,0.0003846514646419989,0.8353002503176884,297.5
vtlwavenet2011,57,K50,50,0.9342555405196852,path_LP,0.0003890155507314208,0.8170330437151562,300.2
vtlwavenet2011,58,K50,50,0.9320593477861155,path_LP,0.0005425742447269405,0.799780290999198,311.4
vtlwavenet2011,59,KEEP,0,0.9320319803062599,path_LP,0.0,0.7790476130065551,0.5
vtlwavenet2011,60,KEEP,0,0.9320985516806275,path_LP,0.0,0.7597616930047356,0.5
vtlwavenet2011,61,KEEP,0,0.9317123111793155,path_LP,0.0,0.7412153846775749,0.5
vtlwavenet2011,62,KEEP,0,0.9291320127151018,path_LP,0.0,0.7251170541501978,0.5
vtlwavenet2011,63,KEEP,0,0.9276450145776479,path_LP,0.0,0.7131858519527718,0.5
vtlwavenet2011,64,KEEP,0,0.9286965195782534,path_LP,0.0,0.7037449769977423,0.5
vtlwavenet2011,65,KEEP,0,0.930024693182063,path_LP,0.0,0.6962823955060153,0.5
vtlwavenet2011,66,KEEP,0,0.9275036823174214,path_LP,0.0,0.6919156653341858,0.5
vtlwavenet2011,67,KEEP,0,0.927746208166546,path_LP,0.0,0.6831936475049166,0.5
vtlwavenet2011,68,KEEP,0,0.931545252262594,path_LP,0.0,0.6781929788960034,0.5
vtlwavenet2011,69,K50,50,0.9332843809952952,path_LP,0.0011323173675682047,0.6747995524985635,324.4
vtlwavenet2011,70,KEEP,0,0.93070514177688,path_LP,0.0,0.6722769631295962,0.5
vtlwavenet2011,71,K50,50,0.9308466681373131,path_LP,0.0005499004557119607,0.668048922888825,322.5
vtlwavenet2011,72,K50,50,0.9329175824027998,path_LP,0.0003424269158970103,0.6658249275418412,324.4
vtlwavenet2011,73,KEEP,0,0.9259343091727,path_LP,0.0,0.6690366593753077,0.5
vtlwavenet2011,74,K50,50,0.9313878372469648,path_LP,0.0003133005395506842,0.6661625475382651,319.2
vtlwavenet2011,75,KEEP,0,0.9291817358250253,path_LP,0.0,0.6695451391410407,0.5
vtlwavenet2011,76,K50,50,0.9304092516988796,path_LP,0.0008199027325023795,0.6731584549550417,323.9
vtlwavenet2011,77,KEEP,0,0.9276352206109647,path_LP,0.0,0.6813896168282872,0.5
vtlwavenet2011,78,KEEP,0,0.929025462802227,path_LP,0.0,0.6828403808596546,0.5
vtlwavenet2011,79,KEEP,0,0.9269096948692872,path_LP,0.0,0.6904695610324416,0.5
vtlwavenet2011,80,KEEP,0,0.9251472488962694,path_LP,0.0,0.6948475404603816,0.5
vtlwavenet2011,81,K50,50,0.9282569861243333,path_LP,0.0005579654030540773,0.7055986605017703,332.5
vtlwavenet2011,82,KEEP,0,0.9264970052331558,path_LP,0.0,0.7133370513436004,0.5
vtlwavenet2011,83,KEEP,0,0.9271635391197268,path_LP,0.0,0.7219944383686743,0.5
vtlwavenet2011,84,KEEP,0,0.927192051741686,path_LP,0.0,0.7331917011409782,0.5
vtlwavenet2011,85,KEEP,0,0.9265585328247488,path_LP,0.0,0.7409716718205807,0.5
vtlwavenet2011,86,KEEP,0,0.9282036947156247,path_LP,0.0,0.753091370897696,0.5
vtlwavenet2011,87,K50,50,0.929823768882553,path_LP,0.0005818746354980362,0.7665895126948928,336.6
vtlwavenet2011,88,K50,50,0.9301300017031852,path_LP,0.0012385144734842462,0.7824591977132688,322.6
vtlwavenet2011,89,K50,50,0.9311945520777473,path_LP,0.0006727441650255426,0.8086657427297901,313.6
vtlwavenet2011,90,K50,50,0.9289822806142861,path_LP,0.000867281439424974,0.829911480377916,299.5
vtlwavenet2011,91,K50,50,0.9294164891953276,path_LP,0.0001937206363257285,0.8503587928301038,299.8
vtlwavenet2011,92,K50,50,0.930981995019175,path_LP,0.0003537446176174684,0.8746261062395417,297.3
vtlwavenet2011,93,K50,50,0.9292996294227216,path_LP,0.00030136206046722005,0.8950865495291354,299.1
vtlwavenet2011,94,K50,50,0.9296468807862887,path_LP,2.817074241586918e-05,0.9137530121375803,300.2
vtlwavenet2011,95,K50,50,0.9310758607609436,path_LP,0.00027234978889879467,0.9349312337262511,302.6
vtlwavenet2011,96,K50,50,0.9325317420350283,path_LP,0.00019052963381097798,0.9573610693448706,299.0
vtlwavenet2011,97,K50,50,0.9327275195148671,path_LP,0.00011442206219688554,0.9709892740989836,303.5
vtlwavenet2011,98,K50,50,0.9314776939997739,path_LP,0.0010088230970132664,0.9940593173045826,299.0
vtlwavenet2011,99,K50,50,0.9323138016559807,path_LP,0.0004577959818059789,1.0069592600296624,298.8
vtlwavenet2011,100,K50,50,0.932278008189245,path_LP,0.0005453476521146949,1.0252666732412221,299.9
vtlwavenet2011,101,K50,50,0.9328300859944205,path_LP,0.0005282733845620389,1.039246463379635,301.1
vtlwavenet2011,102,K50,50,0.9327922924255527,path_LP,0.0006164488155751443,1.05118071651796,301.4
vtlwavenet2011,103,K50,50,0.9325574713541283,path_LP,0.0004177654831149542,1.0565035367480204,305.1
vtlwavenet2011,104,K50,50,0.9344613359248568,path_LP,0.0006150613474783149,1.0699771981038464,307.4
vtlwavenet2011,105,K50,50,0.9343495503776496,path_LP,0.0005657678475867646,1.0790901006302027,301.0
vtlwavenet2011,106,K50,50,0.9368415837182102,path_LP,1.580284654424711e-05,1.0839945731030158,297.0
vtlwavenet2011,107,K50,50,0.9358506839880644,path_LP,0.00018559458824392777,1.0898015534746373,301.7
vtlwavenet2011,108,K50,50,0.9363923556395385,path_LP,0.0003934947485827699,1.0942161662737544,307.2
vtlwavenet2011,109,K50,50,0.9387626825536017,path_LP,0.0005019249536967296,1.094832682042486,298.1
vtlwavenet2011,110,K50,50,0.9366126018462763,path_LP,0.00072834797795774,1.0949289591291853,300.2
vtlwavenet2011,111,K50,50,0.9378085852956212,path_LP,0.00018550608388159348,1.0976388409702282,299.7
vtlwavenet2011,112,K50,50,0.9379645087134769,path_LP,0.0002214027772626339,1.1050656976415942,299.8
vtlwavenet2011,113,K50,50,0.9365498300460028,path_LP,0.0011907774736087456,1.1149133871599013,305.7
vtlwavenet2011,114,K50,50,0.9385457239218896,path_LP,0.00010196307417857863,1.1192934596826307,299.6
vtlwavenet2011,115,K50,50,0.9381173911024493,path_LP,9.013342551140473e-05,1.1294665233088341,296.9
vtlwavenet2011,116,K50,50,0.9378671873172432,path_LP,0.0010914018770164745,1.135506527812775,300.4
vtlwavenet2011,117,K50,50,0.9393488220480581,path_LP,0.00021753149829976788,1.1399455615891652,299.2
vtlwavenet2011,118,K50,50,0.9391371206130068,path_LP,0.0004077213256039709,1.1400193124682954,302.8
vtlwavenet2011,119,K50,50,0.9393061506555701,path_LP,3.5634010176057186e-05,1.1490986964449972,302.8
vtlwavenet2011,120,K50,50,0.93980212134733,path_LP,0.0008476523911203448,1.1457115833519613,298.2
vtlwavenet2011,121,K50,50,0.9384566546663827,path_LP,0.00011624259108210106,1.1489888092324507,295.9
vtlwavenet2011,122,K50,50,0.9399487105791731,path_LP,0.0006657850441888042,1.147447913702193,296.0
vtlwavenet2011,123,K50,50,0.940138275015646,path_LP,0.0007494330477494064,1.1471776637447757,300.7
vtlwavenet2011,124,K50,50,0.9406514574905958,path_LP,0.00048696937029438046,1.1428143727822393,299.4
vtlwavenet2011,125,K50,50,0.9413220547598042,path_LP,0.0003853327894967324,1.1410915039282106,299.9
vtlwavenet2011,126,K50,50,0.9413667521785004,path_LP,0.0004045140466908093,1.1332931191770754,300.8
vtlwavenet2011,127,K50,50,0.9400847209937099,path_LP,0.0007679411855348771,1.1330122180532318,295.8
vtlwavenet2011,128,K50,50,0.9389608451016054,path_LP,0.0019049771423206934,1.125721142479551,298.5
vtlwavenet2011,129,K50,50,0.9409754967049312,path_LP,0.0009976568296534488,1.117473669098622,298.2
vtlwavenet2011,130,K50,50,0.9403538511081271,path_LP,0.0005784765839199689,1.1064060990965805,296.7
vtlwavenet2011,131,K50,50,0.9391339874136567,path_LP,0.0007887191104577911,1.1017924124430651,299.5
vtlwavenet2011,132,K50,50,0.9420119677300928,path_LP,0.0006320006917506979,1.086087654776045,298.9
vtlwavenet2011,133,K50,50,0.9391039521619511,path_LP,0.0003559899443681801,1.0787899900151183,296.8
vtlwavenet2011,134,K50,50,0.9398560561612531,path_LP,0.00031913085286844393,1.070257620159013,299.0
vtlwavenet2011,135,K50,50,0.9390673753519846,path_LP,0.0009227803973338785,1.0553558971222452,303.1
vtlwavenet2011,136,K50,50,0.9382273520235102,path_LP,0.0005620768394688397,1.0562847958045996,301.1
vtlwavenet2011,137,K50,50,0.9381976383779799,path_LP,0.00034521022862088214,1.051767114890535,303.2
vtlwavenet2011,138,K50,50,0.9374450563141689,path_LP,0.0004446723790724339,1.047504429663168,303.6
vtlwavenet2011,139,K50,50,0.9363261020515499,path_LP,0.001399153220856054,1.0437819062072633,299.8
vtlwavenet2011,140,K50,50,0.935762950816193,path_LP,0.0002929377947846874,1.0326257702138832,299.1
vtlwavenet2011,141,K50,50,0.9360327293035486,path_LP,0.0023137578810159564,1.023932788474389,296.0
vtlwavenet2011,142,K50,50,0.9342207363837846,path_LP,0.0002827295907649638,1.0163350586785673,297.7
vtlwavenet2011,143,K50,50,0.934593001812618,path_LP,0.000709628434462044,1.0046384690561811,297.0
vtlwavenet2011,144,K50,50,0.9342220032845524,path_LP,3.512691976042697e-05,0.9917185902852296,303.6
vtlwavenet2011,145,K50,50,0.9341955521315867,path_LP,0.0005267736199380377,0.9814273666285284,301.1
vtlwavenet2011,146,K50,50,0.9341322259241247,path_LP,0.0009686827803084563,0.959808170143802,303.2
vtlwavenet2011,147,K50,50,0.935679895603577,path_LP,0.0009911801185289244,0.9466575191708531,300.3
vtlwavenet2011,148,K50,50,0.9343594195481792,path_LP,0.0010845090747838768,0.9271284311762986,297.2
vtlwavenet2011,149,K50,50,0.9339083294460248,path_LP,0.0005767768226896151,0.9134448500581238,300.4
vtlwavenet2011,150,K50,50,0.9334309459477702,path_LP,0.00023931452309737888,0.8884153973343081,297.4
vtlwavenet2011,151,K50,50,0.9337422189589002,path_LP,0.0007207163464889985,0.8702458914382911,300.8
vtlwavenet2011,152,K50,50,0.931935317520701,path_LP,5.6726901333121805e-05,0.8527869996647124,297.7
vtlwavenet2011,153,K50,50,0.934741973105155,path_LP,0.00033572733416657746,0.8316935863971098,301.8
vtlwavenet2011,154,K50,50,0.9328298879492043,path_LP,0.0015444149749889004,0.8123836831590866,298.0
vtlwavenet2011,155,K50,50,0.9340307084666913,path_LP,0.0010662012342849791,0.7928721140952213,299.7
vtlwavenet2011,156,KEEP,0,0.9322560997248049,path_LP,0.0,0.7755484771135821,0.5
vtlwavenet2011,157,KEEP,0,0.9315137168004182,path_LP,0.0,0.7542837675106372,0.5
vtlwavenet2011,158,KEEP,0,0.9316105918695254,path_LP,0.0,0.7383247602308257,0.5
vtlwavenet2011,159,KEEP,0,0.9336355009567122,path_LP,0.0,0.7196826398335661,0.5
vtlwavenet2011,160,KEEP,0,0.9314055328183192,path_LP,0.0,0.7099441924965924,0.5
vtlwavenet2011,161,KEEP,0,0.9335073418217374,path_LP,0.0,0.700996101277659,0.5
vtlwavenet2011,162,KEEP,0,0.9329028790355367,path_LP,0.0,0.6961780060878446,0.5
vtlwavenet2011,163,KEEP,0,0.9311264196014581,path_LP,0.0,0.689864673518714,0.5
vtlwavenet2011,164,KEEP,0,0.9283080365240809,path_LP,0.0,0.6868767500692087,0.5
vtlwavenet2011,165,KEEP,0,0.9306669303936286,path_LP,0.0,0.67782590629409,0.5
vtlwavenet2011,166,KEEP,0,0.9288577335891981,path_LP,0.0,0.6804492834267105,0.5
vtlwavenet2011,167,KEEP,0,0.9314466800114255,path_LP,0.0,0.6749861599267295,0.5
vtlwavenet2011,168,K50,50,0.9332915312617163,path_LP,0.0011560585124465587,0.6685837978133655,311.8
vtlwavenet2011,169,KEEP,0,0.9297164337902858,path_LP,0.0,0.6709843598895429,0.5
vtlwavenet2011,170,KEEP,0,0.9296367278715594,path_LP,0.0,0.6729913165433851,0.5
vtlwavenet2011,171,KEEP,0,0.9303257800271995,path_LP,0.0,0.6715585190173932,0.5
vtlwavenet2011,172,KEEP,0,0.9295312464945448,path_LP,0.0,0.6787332962235967,0.5
vtlwavenet2011,173,KEEP,0,0.9303125025153204,path_LP,0.0,0.6794300482062063,0.5
vtlwavenet2011,174,KEEP,0,0.9283976007296025,path_LP,0.0,0.6831720120740117,0.5
vtlwavenet2011,175,KEEP,0,0.9305507773352393,path_LP,0.0,0.6880620784075996,0.5
vtlwavenet2011,176,K50,50,0.9298664977175044,path_LP,0.00026476630932766455,0.6907396024756609,297.3
vtlwavenet2011,177,K50,50,0.9301862016670001,path_LP,0.00017009302404597621,0.699922465659421,296.1
vtlwavenet2011,178,KEEP,0,0.9301575421487828,path_LP,0.0,0.7078204108334528,0.5
vtlwavenet2011,179,KEEP,0,0.926746923452619,path_LP,0.0,0.7175156940205256,0.5
vtlwavenet2011,180,KEEP,0,0.926846956185052,path_LP,0.0,0.7283456057111853,0.5
vtlwavenet2011,181,K50,50,0.9298440849702617,path_LP,0.0005292805091840925,0.7349725836588384,301.2
vtlwavenet2011,182,K50,50,0.9304562992545932,path_LP,0.00020299034356363482,0.7459751608552231,300.2
vtlwavenet2011,183,KEEP,0,0.9280336823850638,path_LP,0.0,0.758728988675375,0.5
vtlwavenet2011,184,KEEP,0,0.9276934826672071,path_LP,0.0,0.7781893801457745,0.5
vtlwavenet2011,185,K50,50,0.9306422729549708,path_LP,0.0006135474865880472,0.8010149020636211,299.0
vtlwavenet2011,186,K50,50,0.9299620379267668,path_LP,0.000969897988620125,0.816651609713347,296.1
vtlwavenet2011,187,K50,50,0.9306982978166825,path_LP,0.0007223241513124683,0.837677507450576,299.6
vtlwavenet2011,188,K50,50,0.930495002859653,path_LP,0.001496923023765486,0.8585845652435592,300.3
vtlwavenet2011,189,K50,50,0.9319522142119667,path_LP,0.00039944964060444223,0.880038293354264,315.6
vtlwavenet2011,190,K50,50,0.9304949086704842,path_LP,0.0002673189533144051,0.901985171288511,308.3
vtlwavenet2011,191,K50,50,0.9319133127127252,path_LP,0.0005281738183958451,0.9216540662400591,308.0
vtlwavenet2011,192,K50,50,0.9324485782773019,path_LP,0.0008641651472811123,0.9374206425054468,312.9
vtlwavenet2011,193,K50,50,0.9312450337838885,path_LP,0.0014873259000030763,0.9563873349163601,304.5
vtlwavenet2011,194,K50,50,0.9332754292272498,path_LP,0.0008076683061142432,0.9692429773956006,308.4
vtlwavenet2011,195,K50,50,0.9332718974230492,path_LP,0.0009260662032748322,0.9887073199624187,315.6
vtlwavenet2011,196,K50,50,0.9353181913872658,path_LP,0.0013107267421080407,1.000884399014233,299.2
vtlwavenet2011,197,K50,50,0.9339943529514894,path_LP,0.0008192647649471255,1.015676303353343,377.7
vtlwavenet2011,198,K50,50,0.9338774749535265,path_LP,0.0002361731921088627,1.0293668032031251,311.5
vtlwavenet2011,199,K50,50,0.9326672695122271,path_LP,0.00027504173846650616,1.037044279612674,322.3
